
!EXCLAMATION-POINT  EH K - S K L AH - M EY - SH AH N - P OY N T
ACQUITAINE  AE - K W IH - T EY N
ACQUITS  AH - K W IH T S
ACQUITTAL  AH - K W IH - T AH L
ACQUITTALS  AH - K W IH - T AH L Z
ACQUITTED()  AH - K W IH - T IH D
ACQUITTING  AH - K W IH - T IH NG
ACRE  EY - K ER
ACREAGE()  EY - K R AH JH
ACREE  AH - K R IY
ACRES  EY - K ER Z
ACRID  AE - K R IH D
ACRIMONY  AE - K R IH - M OW - N IY
ACROBAT  AE - K R AH - B AE T
ACROBATICS  AE - K R AH - B AE - T IH K S
ACRONYMS  AE - K R AH - N IH M Z
ACROPOLIS  AH - K R AA - P AH - L AH S
ACROSS  AH - K R AO S
ACRYLIC  AH - K R IH - L IH K
ACRYLICS  AH - K R IH - L IH K S
ACT  AE K T
ACT'S  AE K T S
ACTED  AE K - T AH D
ACTED()  AE K - T IH D
ACTIN  AE K - T AH N
ACTING  AE K - T IH NG
ACTINIDE  AE K - T IH - N AY D
ACTINIDIA  AE K - T IH - N IH - D IY - AH
ACTION  AE K - SH AH N
ACTION'S  AE K - SH AH N Z
ACTIONABLE  AE K - SH AH N - AH - B AH L
ACTIONS  AE K - SH AH N Z
ACTIVASE  AE K - T IH - V EY Z
ACTIVATE  AE K - T AH - V EY T
ACTIVATED  AE K - T AH - V EY - T AH D
ACTIVATED()  AE K - T IH - V EY - T IH D
ACTIVATES  AE K - T AH - V EY T S
ACTIVATING  AE K - T AH - V EY - T IH NG
ACTIVE  AE K - T IH V
ACTIVES  AE K - T IH V Z
ACTIVISION  AE K - T IH - V IH - ZH AH N
ACTIVISM  AE K - T IH - V IH - Z AH M
ACTIVIST  AE K - T AH - V AH S T
ACTIVIST()  AE K - T IH - V IH S T
ACTIVISTS  AE K - T AH - V AH S T S
ACTIVISTS'  AE K - T IH - V IH S T S
ACTIVISTS'()  AE K - T IH - V IH S
ACTIVISTS()  AE K - T IH - V IH S T S
ACTIVISTS(3)  AE K - T AH - V AH S S
ACTIVISTS(4)  AE K - T IH - V IH S S
ACTIVISTS(6)  AE K - T IH - V IH S
ACTIVITIES  AE K - T IH - V AH - T IY Z
ACTIVITIES()  AE K - T IH - V IH - T IY Z
ACTIVITY  AE K - T IH - V AH - T IY
ACTIVITY()  AE K - T IH - V IH - T IY
ACTMEDIA  AE K T - M IY - D IY - AH
ACTODINE  AE K - T OW - D AY N
ACTON  AE K - T AH N
ACTOR  AE K - T ER
ACTOR'S  AE K - T ER Z
ACTORS  AE K - T ER Z
ACTORS'  AE K - T ER Z
ACTRESS  AE K - T R AH S
ACTRESSES  AE K - T R AH - S IH Z
ACTS  AE K T S
ACTUAL  AE K - CH AH - W AH L
ACTUAL()  AE K - SH AH L
ACTUALITY  AE K - CH AH W - AE - L AH - T IY
ACTUALIZE  AE K - CH AH W - AH - L AY Z
ACTUALLY(4)  AE K - SH AH - L IY
ACTUARIES  AE K - CH AH W - EH - R IY Z
ACTUARY  AE K - CH AH W - EH - R IY
ACTUATE  AE K - CH UW W - EY T
ACTUATOR  AE K - T Y UW - EY - T ER
ACTUATOR()  AE K - CH UW - EY - T ER
ACTUATORS  AE K - T Y UW - EY - T ER Z
ACTUS  AE K - T AH S
ACUFF  AH - K AH F
ACUITY  AH - K Y UW - AH - T IY
ACUMEN  AH - K Y UW - M AH N
ACUNA  AA - K UW - N AH
ACUPUNCTURE  AE - K Y UW - P AH NG K - CH ER
ACURA  AE - K Y ER - AH
ACURAS  AE - K Y ER - AH Z
ACUSON  AE - K Y UW - S AH N
ACUSYST  AE - K Y UW - S IH S T
ACUTE  AH - K Y UW T
ACUTELY  AH - K Y UW T - L IY
AD  AE D
AD'S  AE D Z
AD-LIB  AE D - L IH B
ADABEL  AE - D AH - B EH L
ADABELLE  AE - D AH - B AH L
ADACHI  AA - D AA - K IY
ADAGE  AE - D AH JH
ADAGE()  AE - D IH JH
ADAGIO  AH - D AA - ZH IY - OW
ADAIR  AH - D EH R
ADAIRE  AA - D EH R
ADALAH  AA - D AA - L AH
ADALIA  AA - D AA - L IY - AH
ADAM  AE - D AH M
ADAM'S  AE - D AH M Z
ADAMANT  AE - D AH - M AH N T
ADAMCZAK  AA - D AH M - CH AE K
ADAMCZYK  AA - D AH M - CH IH K
ADAMEC  AH - D AA - M IH K
ADAMEK  AH - D AA - M EH K
ADAMI  AA - D AA - M IY
ADAMIK  AH - D AA - M IH K
ADAMKUS  AE - D AH M - K AH S
ADAMO  AA - D AA - M OW
ADAMS  AE - D AH M Z
ADAMS'S  AE - D AH M - Z IH Z
ADAMSKI  AH - D AE M S - K IY
ADAMSON  AE - D AH M - S AH N
ADAMSTOWN  AE - D AH M - S T AW N
ADAPSO  AH - D AE P - S OW
ADAPT  AH - D AE P T
ADAPTABILITY  AH - D AE P - T AH - B IH - L AH - T IY
ADAPTAPLEX  AH - D AE P - T AH - P L EH K S
ADAPTATION  AE - D AH P - T EY - SH AH N
ADAPTATIONS  AE - D AE P - T EY - SH AH N Z
ADAPTATIONS()  AE - D AH P - T EY - SH AH N Z
ADAPTEC  AH - D AE P - T EH K
ADAPTED  AH - D AE P - T AH D
ADAPTED()  AH - D AE P - T IH D
ADAPTER  AH - D AE P - T ER
ADAPTERS  AH - D AE P - T ER Z
ADAPTING  AH - D AE P - T IH NG
ADAPTOR  AH - D AE P - T ER
ADAPTS  AH - D AE P T S
ADAR  AH - D AA R
ADARAND  AE - D AH - R AE N D
ADAY  AH - D EY
ADAZA  AH - D AA - Z AH
ADCOCK  AH D - K AA K
ADCOX  AH D - K AA K S
ADD  AE D
ADDAIR  AH - D EH R
ADDAMS  AE - D AH M Z
ADDED  AE - D AH D
ADDED()  AE - D IH D
ADDENDUM  AH - D EH - D AH M
ADDER  AE - D ER
ADDERLEY  AH - D ER - L IY
ADDICKS  AE - D IH K S
ADDICT  AH - D IH K T
ADDICT()  AE - D IH K T
ADDICTED  AH - D IH K - T AH D
ADDICTED()  AH - D IH K - T IH D
ADDICTING  AH - D IH K - T IH NG
ADDICTION  AH - D IH K - SH AH N
ADDICTIONS  AH - D IH K - SH AH N Z
ADDICTS  AH - D IH K T S
ADDICTS()  AE - D IH K T S
ADDIDAS  AH - D IY - D AH S
ADDIDAS'  AH - D IY - D AH S
ADDIDASES  AH - D IY - D AH - S IH Z
ADDIE  AE - D IY
ADDING  AE - D IH NG
ADDINGTON  AE - D IH NG - T AH N
ADDIS-ABABA  AA - D IH S - AH - B AA - B AH
ADDIS-ABABA()  AA - D IY - S AH - B AA - B AH
ADDISON'S  AE - D IH - S AH N Z
ADDISON()  AE - D IH - S AH N
ADDITIONAL  AH - D IH - SH AH - N AH L
ADDITIONAL()  AH - D IH SH - N AH L
ADDITIONALLY  AH - D IH - SH AH N - AH - L IY
ADDITIONALLY()  AH - D IH SH - N AH - L IY
ADDITIONS  AH - D IH - SH AH N Z
ADDITIVE  AE - D AH - T IH V
ADDITIVE()  AE - D IH - T IH V
ADDITIVES  AE - D AH - T IH V Z
ADDLED  AE - D AH L D
ADDRESS  AE - D R EH S
ADDRESSABLE  AH - D R EH - S AH - B AH L
ADDRESSED  AH - D R EH S T
ADDRESSES()  AH - D R EH - S IH Z
ADDRESSING  AH - D R EH - S IH NG
ADDS  AE D Z
ADDUCI  AA - D UW - CH IY
ADDWEST  AE D - W EH S T
ADDY  AE - D IY
ADE  EY D
ADEL  AH - D EH L
ADELA  AH - D EH - L AH
ADELAAR  AE - D AH - L AA R
ADELBERT  AH - D EH L - B ER T
ADELE  AH - D EH L
ADELE'S  AH - D EH L Z
ADELINE  AE - D AH - L AY N
ADELIZZI  AE - D AH - L IY - Z IY
ADELL  AH - D EH L
ADELL'S  AH - D EH L Z
ADELLE  AH - D EH L
ADELMAN()  EH - D AH L - M AH N
ADELMANN  AE - D AH L - M AH N
ADELPHA  AH - D EH L - F AH
ADELPHIA  AH - D EH L - F IY - AH
ADELPHIA'S  AH - D EH L - F IY - AH Z
ADELSBERGER  AE - D IH L Z - B ER - G ER
ADELSON  AE - D AH L - S AH N
ADELSTEIN  AE - D AH L - S T AY N
ADELSTEIN()  AE - D AH L - S T IY N
ADEN  EY - D AH N
ADENAUER()  AE - D AH - N AW R
ADENOID  AE - D AH - N OY D
ADEPT  AH - D EH P T
ADEQUACY  AE - D AH - K W AH - S IY
ADEQUATE  AE - D AH - K W AH T
ADEQUATELY  AE - D AH - K W AH T - L IY
ADEQUATELY()  AE - D AH - K W IH T - L IY
ADER  EY - D ER
ADERHOLD  AE - D ER - HH OW L D
ADERHOLT  AE - D ER - HH OW L T
ADERMAN  AE - D ER - M AH N
ADES  EY D Z
ADEY  EY - D IY
ADGER  AE - JH ER
ADHAM  AE D - HH AE M
ADHERE  AH D - HH IH R
ADHERENCE  AH D - HH IH - R AH N S
ADHERENT  AH D - HH IH - R AH N T
ADHERENTS  AE D - HH IH - R AH N T S
ADHERING  AH D - HH IH - R IH NG
ADHESIVE  AE D - HH IY - S IH V
ADHESIVE()  AH D - HH IY - S IH V
ADHESIVES  AE D - HH IY - S IH V Z
ADHESIVES()  AH D - HH IY - S IH V Z
ADID  AH - D IH D
ADIEU  AH - D UW
ADIN  AH - D IH N
ADINA  AA - D IY - N AH
ADINE  AA - D IY - N IY
ADINOLFI  AA - D IY - N OW L - F IY
ADIOS  AA - D IY - OW S
ADIPOSE  AE - D AH - P OW S
ADIRONDACK  AE - D ER - AA N - D AE K
ADJACENT  AH - JH EY - S AH N T
ADJANI  AE D - JH AA - N IY
ADJECTIVES  AE - JH IH K - T IH V Z
ADJOIN  AH - JH OY N
ADJOINING  AH - JH OY - N IH NG
ADJOINS  AH - JH OY N Z
ADJOURN  AH - JH ER N
ADJOURNED  AH - JH ER N D
ADJOURNMENT  AH - JH ER N - M AH N T
ADJOURNS  AH - JH ER N Z
ADJUDGE  AH - JH AH JH
ADJUDGED  AH - JH AH JH D
ADJUDICATED  AH - JH UW - D AH - K EY - T IH D
ADJUDICATING  AH - JH UW - D IH - K EY - T IH NG
ADJUDICATION  AH - JH UW - D AH - K EY - SH AH N
ADJUNCT  AE - JH AH NG K T
ADJUNCTS  AE - JH AH NG K T S
ADJUSTABLE  AH - JH AH - S T AH - B AH L
ADJUSTABLES  AH - JH AH - S T AH - B AH L Z
ADJUSTED  AH - JH AH - S T AH D
ADJUSTED()  AH - JH AH - S T IH D
ADJUSTER  AH - JH AH - S T ER
ADJUSTERS  AH - JH AH - S T ER Z
ADJUSTING  AH - JH AH - S T IH NG
ADJUSTMENT  AH - JH AH S T - M AH N T
ADJUSTMENTS  AH - JH AH S T - M AH N T S
ADJUSTS  AH - JH AH S T S
ADJUSTS(3)  AH - JH AH S
ADJUTANT  AE - JH AH - T AH N T
ADKINS  AE D - K IH N Z
ADKINSON  AE D - K IH N - S AH N
ADKISON  AE D - K IH - S AH N
ADL-TABATABA  AA - D AH L - T AA - B AH - T AA - B AH
ADLAI  AA D - L AA - IY
ADLEY  AE D - L IY
ADLON  AE D - L AA N
ADMAN  AE D - M AH N
ADMEN  AE D - M AH N
ADMINISTER  AH D - M IH - N AH - S T ER
ADMINISTERED  AH D - M IH - N AH - S T ER D
ADMINISTERING  AE D - M IH - N IH - S T ER - IH NG
ADMINISTERS  AE D - M IH - N IH - S T ER Z
ADMINISTRATE  AE D - M IH - N IH - S T R EY T
ADMINISTRATING  AH D - M IH - N AH - S T R EY - T IH NG
ADMINISTRATION  AE D - M IH - N IH - S T R EY - SH AH N
ADMINISTRATION'S  AE D - M IH - N IH - S T R EY - SH AH N Z
ADMINISTRATIONS  AE D - M IH - N IH - S T R EY - SH AH N Z
ADMINISTRATOR  AH D - M IH - N AH - S T R EY - T ER
ADMINISTRATORS  AE D - M IH - N IH - S T R EY - T ER Z
ADMIRA'S  AE D - M AY - R AH Z
ADMIRABLE  AE D - M ER - AH - B AH L
ADMIRABLE()  AE D - M R AH - B AH L
ADMIRALS  AE D - M ER - AH L Z
ADMIRALTY  AE D - M ER - AH L - T IY
ADMIRATION  AE D - M ER - EY - SH AH N
ADMIRATIONS  AE D - M ER - EY - SH AH N Z
ADMIRE  AE D - M AY R
ADMIRED  AH D - M AY - ER D
ADMIRER  AE D - M AY - R ER
ADMIRERS  AH D - M AY - R ER Z
ADMIRING  AE D - M AY - R IH NG
ADMIRINGLY  AE D - M AY - R IH NG - L IY
ADMISSIBILITY  AH D - M IH - S AH - B IH - L AH - T IY
ADMISSIBLE  AH D - M IH - S AH - B AH L
ADMISSION  AE D - M IH - SH AH N
ADMISSION()  AH D - M IH - SH AH N
ADMISSIONS  AE D - M IH - SH AH N Z
ADMIT  AH D - M IH T
ADMITS  AH D - M IH T S
ADMITTANCE  AH D - M IH - T AH N S
ADMITTED  AH D - M IH - T AH D
ADMITTEDLY  AE D - M IH - T IH D - L IY
ADMITTING()  AH D - M IH - T IH NG
ADMONISHING  AE D - M AA - N IH - SH IH NG
ADMONISHMENT  AE D - M AA - N IH SH - M EH N T
ADMONITION  AE D - M AH - N IH - SH AH N
ADMONITIONS  AE D - M AH - N IH - SH AH N Z
ADO  AH - D UW
ADOBE  AH - D OW - B IY
ADOBE'S  AH - D OW - B IY Z
ADOLESCENCE()  AE - D OW - L EH - S AH N S
ADOLESCENT  AE - D AH - L EH - S AH N T
ADOLESCENT()  AE - D OW - L EH - S AH N T
ADOLESCENTS  AE - D AH - L EH - S AH N T S
ADOLESCENTS()  AE - D OW - L EH - S AH N T S
ADOLF  EY - D AA L F
ADOLFO  AH - D AA L - F OW
ADOLPH  EY - D AO L F
ADOLPHA  AA - D OW L - F AH
ADOLPHSON  AE - D OW L F - S AH N
ADON  AA - D AO N
ADONIA  AA - D OW - N IY - AH
ADOPT  AH - D AA P T
ADOPTABLE  AH - D AA P - T AH - B AH L
ADOPTED  AH - D AA P - T AH D
ADOPTEE  AH - D AA P - T IY
ADOPTEES  AH - D AA P - T IY Z
ADOPTING  AH - D AA P - T IH NG
ADOPTION  AH - D AA P - SH AH N
ADOPTIONS  AH - D AA P - SH AH N Z
ADOR  AA - D AO R
ADORABELLE  AE - D ER - AH - B AH L
ADORABLE  AH - D AO - R AH - B AH L
ADORATION  AE - D ER - EY - SH AH N
ADORE  AH - D AO R
ADORED  AH - D AO R D
ADOREE  AE - D ER - IY
ADORES  AH - D AO R Z
ADORING  AH - D AO - R IH NG
ADORN  AH - D AO R N
ADORNO  AA - D AO R - N OW
ADORNS  AH - D AO R N Z
ADRAGNA  AA - D R AA G - N AH
ADRDA  EY - D ER - D AH
ADREA  AA - D R IY - AH
ADRENAL  AH - D R IY - N AH L
ADRENALINE  AH - D R EH - N AH - L AH N
ADRIA  AA - D R IY - AH
ADRIAN  EY - D R IY - AH N
ADRIANA  EY - D R IY - AE - N AH
ADRIANCE  AA - D R IY - AH N S
ADRIANO  AA - D R IY - AA - N OW
ADRIATIC  EY - D R IY - AE - T IH K
ADRIENNE  AA - D R IY - EH N
ADRIFT  AH - D R IH F T
ADROIT  AH - D R OY T
ADS'  AE D Z
ADSIT  AE D - S IH T
ADSS  AE D S
ADSS()  EY - D IY - EH - S EH S
ADTEC  AE D - T EH K
ADULATE  AE - JH AH - L EY T
ADULATION  AE - JH AH - L EY - SH AH N
ADULIADAE  AH - D UW - L IY - AA - D EY
ADULT  AH - D AH L T
ADULT()  AE - D AH L T
ADULTERATED  AH - D AH L - T ER - EY - T IH D
ADULTERER  AH - D AH L - T ER - ER
ADULTERERS  AH - D AH L - T ER - ER Z
ADULTERY  AH - D AH L - T ER - IY
ADULTHOOD  AH - D AH L T - HH UH D
ADULTS  AH - D AH L T S
ADULTS'  AH - D AH L T S
ADULTS'()  AE - D AH L T S
ADUSDUR  AE - D AH S - D ER
ADVANCE  AH D - V AE N S
ADVANCED  AH D - V AE N S T
ADVANCEMENT  AH D - V AE N S - M AH N T
ADVANCEMENTS  AH D - V AE N - S M AH N T S
ADVANCER  AH D - V AE N - S ER
ADVANCES  AH D - V AE N - S AH Z
ADVANCES()  AH D - V AE N - S IH Z
ADVANCING  AH D - V AE N - S IH NG
ADVANTA()  AH D - V AE N - T AH
ADVANTAGE  AE D - V AE N - T IH JH
ADVANTAGE()  AH D - V AE N - T IH JH
ADVANTAGE(3)  AE D - V AE - N IH JH
ADVANTAGE(4)  AH D - V AE - N AH JH
ADVANTAGED  AE D - V AE N - T IH JH D
ADVANTAGED(3)  AE D - V AE - N IH JH D
ADVANTAGED(4)  AH D - V AE - N IH JH D
ADVANTAGEOUS  AE D - V AH N - T EY - JH AH S
ADVANTAGES()  AH D - V AE N - T IH - JH IH Z
ADVANTAGES(4)  AH D - V AE - N IH - JH IH Z
ADVANTEST  AE D - V AE N - T AH S T
ADVANTEST()  AH D - V AE N - T AH S T
ADVECTION  AE D - V EH K - SH AH N
ADVENTIST  AE D - V EH N - T IH S T
ADVENTISTS()  AE D - V EH N - T IH S S
ADVENTURE  AE D - V EH N - CH ER
ADVENTURER  AE D - V EH N - CH ER - ER
ADVENTURER()  AH D - V EH N - CH ER - ER
ADVENTURERS  AE D - V EH N - CH ER - ER Z
ADVENTURERS()  AH D - V EH N - CH ER - ER Z
ADVENTURESOME  AE D - V EH N - CH ER - S AH M
ADVENTURESOME()  AH D - V EH N - CH ER - S AH M
ADVENTURISM  AE D - V EH N - CH ER - IH - Z AH M
ADVENTUROUS  AE D - V EH N - CH ER - AH S
ADVERB  AE D - V ER B
ADVERBIAL  AE D - V ER - B IY - AH L
ADVERSARIAL  AE D - V ER - S EH - R IY - AH L
ADVERSARIES  AE D - V ER - S EH - R IY Z
ADVERSARY  AE D - V ER - S EH - R IY
ADVERSE  AE D - V ER S
ADVERSE(3)  AH D - V ER S
ADVERSELY  AE D - V ER S - L IY
ADVERSITY  AE D - V ER - S IH - T IY
ADVERSITY()  AH D - V ER - S IH - T IY
ADVERTISE  AE D - V ER - T AY Z
ADVERTISED  AE D - V ER - T AY Z D
ADVERTISEMENT  AH D - V ER - T AH Z - M AH N T
ADVERTISEMENT()  AE D - V ER - T AY Z - M AH N T
ADVERTISEMENTS  AE D - V ER - T AY Z - M AH N T S
ADVERTISER  AE D - V ER - T AY - Z ER
ADVERTISER'S  AE D - V ER - T AY - Z ER Z
ADVERTISERS  AE D - V ER - T AY - Z ER Z
ADVERTISERS'  AE D - V ER - T AY - Z ER Z
ADVERTISES  AE D - V ER - T AY - Z IH Z
ADVERTISING  AE D - V ER - T AY - Z IH NG
ADVERTISING'S  AE D - V ER - T AY - Z IH NG Z
ADVERTORIAL  AE D - V ER - T AO - R IY - AH L
ADVEST  AE D - V EH S T
ADVICE  AE D - V AY S
ADVICE()  AH D - V AY S
ADVIL  AE D - V IH L
ADVIL'S  AE D - V IH L Z
ADVISABILITY  AE D - V AY - Z AH - B IH - L IH - T IY
ADVISABLE  AH D - V AY - Z AH - B AH L
ADVISE  AE D - V AY Z
ADVISE()  AH D - V AY Z
ADVISED()  AH D - V AY Z D
ADVISEDLY  AE D - V AY - Z AH D - L IY
ADVISEMENT  AH D - V AY Z - M AH N T
ADVISER  AE D - V AY - Z ER
ADVISER'S  AH D - V AY - Z ER Z
ADVISERS  AE D - V AY - Z ER Z
ADVISERS'  AE D - V AY - Z ER Z
ADVISOR  AE D - V AY - Z ER
ADVISOR()  AH D - V AY - Z ER
ADVISORIES  AH D - V AY - Z ER - IY Z
ADVISORS  AE D - V AY - Z ER Z
ADVISORS()  AH D - V AY - Z ER Z
ADVISORY()  AH D - V AY - Z ER - IY
ADVO  AE D - V OW
ADVOCACY  AE D - V AH - K AH - S IY
ADVOCATE  AE D - V AH - K AH T
ADVOCATE'S  AE D - V AH - K AH T S
ADVOCATED  AE D - V AH - K EY - T AH D
ADVOCATED()  AE D - V AH - K EY - T IH D
ADVOCATES  AE D - V AH - K AH T S
ADVOCATES()  AE D - V AH - K EY T S
ADVOCATING  AE D - V AH - K EY - T IH NG
ADVOCATION  AE D - V AH - K EY - SH AH N
ADWEEK  AE D - W IY K
ADWELL  AH D - W EH L
ADY  EY - D IY
ADZ  AE D Z
AE  EY
AEGEAN  IH - JH IY - AH N
AEGON  EY - G AA N
AELTUS  AE L - T AH S
AENEAS  AE - N IY - AH S
AEQUITRON  EY - K W IH - T R AA N
AER  EH R
AER()  EY - IY - AA R
AERIEN  EH - R IY - AH N
AERITALIA  EH - R IH - T AE - L Y AH
AERO  EH - R OW
AEROBATIC  EH - R AH - B AE - T IH K
AEROBATICS  EH - R AH - B AE - T IH K S
AEROBIC  EH - R OW - B IH K
AEROBICALLY  EH - R OW - B IH K - L IY
AEROBICS  ER - OW - B IH K S
AERODROME  EH - R AH - D R OW M
AERODYNAMIC  EH - R OW - D AY - N AE - M IH K
AERODYNAMICALLY  EH - R OW - D AY - N AE - M IH K - L IY
AERODYNE  EH - R AH - D AY N
AEROFLOT  EH - R OW - F L AA T
AEROJET  EH - R OW - JH EH T
AEROLIFT  EH - R OW - L IH F T
AEROLINEAS  EH - R OW - L IH - N IY - AH S
AERONAUTIC  EH - R OW - N AA - T AH K
AERONAUTICAL  EH - R OW - N AA - T AH - K AH L
AERONAUTICAL()  EH - R AH - N AA - T AH - K AH L
AERONAUTICS  EH - R AH - N AO - T IH K S
AEROSMITH'S  EH - R OW - S M IH TH S
AEROSOL  EH - R AH - S AA L
AEROSOLS  EH - R AH - S AA L Z
AEROSPACE  EH - R OW - S P EY S
AEROSPACE'S  EH - R OW - S P EY - S IH Z
AEROSPATIALE  EH - R OW - S P AA - S IY - AA L
AEROSTAR  EH - R OW - S T AA R
AEROSTATS  EH - R OW - S T AE T S
AEROTECH  EH - R OW - T EH K
AERTS  EH R T S
AESCHLIMAN  EH SH - L IY - M AH N
AESOP  IY - S AA P
AESTHETE  EH S - TH IY T
AESTHETIC  EH S - TH EH - T IH K
AESTHETICALLY  EH S - TH EH - T IH K - L IY
AESTHETICS  EH S - TH EH - T IH K S
AETNA  EH T - N AH
AETNA'S  EH T - N AH Z
AFANASYEV  AE - F AH - N EY - S IY - EH V
AFAR  AH - F AA R
AFFABLE  AE - F AH - B AH L
AFFAIR  AH - F EH R
AFFECT  AH - F EH K T
AFFECTATION  AE - F EH K - T EY - SH AH N
AFFECTED()  AH - F EH K - T IH D
AFFECTION  AH - F EH K - SH AH N
AFFECTIONATE  AH - F EH K - SH AH N - AH T
AFFECTIONATE()  AH - F EH K - SH AH - N IH T
AFFECTIONATELY  AH - F EH K - SH AH N - AH T - L IY
AFFECTIONS  AH - F EH K - SH AH N Z
AFFECTIVE  AH - F EH K - T IH V
AFFECTIVELY  AH - F EH K - T IH V - L IY
AFFECTS  AH - F EH K T S
AFFELDT  AE - F IH L T
AFFERENT  AE - F ER - AH N T
AFFIANT  AE - F IY - AH N T
AFFIDAVIT  AE - F AH - D EY - V AH T
AFFILIATE  AH - F IH - L IY - EY T
AFFILIATE'S  AH - F IH - L IY - EY T S
AFFILIATE()  AH - F IH - L IY - AH T
AFFILIATED  AH - F IH - L IY - EY - T AH D
AFFILIATED'S  AH - F IH - L IY - EY - T IH D Z
AFFILIATED()  AH - F IH - L IY - EY - T IH D
AFFILIATES  AH - F IH - L IY - AH T S
AFFILIATES'  AH - F IH - L IY - IH T S
AFFILIATES()  AH - F IH - L IY - EY T S
AFFILIATING  AH - F IH - L IY - EY - T IH NG
AFFILIATION  AH - F IH - L IY - EY - SH AH N
AFFILIATIONS  AH - F IH - L IY - EY - SH AH N Z
AFFINITIES  AH - F IH - N AH - T IY Z
AFFINITY  AH - F IH - N AH - T IY
AFFINITY()  AH - F IH - N IH - T IY
AFFIRM  AH - F ER M
AFFIRMATIONS  AE - F ER - M EY - SH AH N Z
AFFIRMATIVELY  AH - F ER - M AH - T IH V - L IY
AFFIRMING  AH - F ER - M IH NG
AFFIRMS  AH - F ER M Z
AFFIX  AE - F IH K S
AFFIX()  AH - F IH K S
AFFIXED  AH - F IH K S T
AFFIXES  AE - F IH K - S IH Z
AFFIXES()  AH - F IH K - S IH Z
AFFIXING  AH - F IH K - S IH NG
AFFLECK  AE - F L IH K
AFFLICT  AH - F L IH K T
AFFLICTED  AH - F L IH K - T AH D
AFFLICTED()  AH - F L IH K - T IH D
AFFLICTIONS  AH - F L IH K - SH AH N Z
AFFLIK  AE - F L IH K
AFFOLTER  AE - F OW L - T ER
AFFORDABILITY  AH - F AO R - D AH - B IH - L AH - T IY
AFFORDABLE  AH - F AO R - D AH - B AH L
AFFORDED  AH - F AO R - D AH D
AFFORDING  AH - F AO R - D IH NG
AFFRICATE  AE - F R AH - K AH T
AFFRICATES  AE - F R AH - K AH T S
AFFRICATION  AE - F R AH - K EY - SH AH N
AFFRONTED  AH - F R AH N - T IH D
AFFRONTS  AH - F R AH N T S
AFFYMAX  AE - F IY - M AE K S
AFGHAN  AE F - G AE N
AFGHANI  AE F - G AA - N IY
AFGHANIS  AE F - G AE - N IY Z
AFGHANISTAN  AE F - G AE - N AH - S T AE N
AFGHANISTAN'S  AE F - G AE - N AH - S T AE N Z
AFGHANS  AE F - G AE N Z
AFHELDT  AE - F EH L T
AFICIONADO  AH - F IY - SH Y AH - N AA - D OW
AFICIONADOS  AH - F IH - SH AH - N AA - D OW Z
AFIELD  AH - F IY L D
AFLOAT  AH - F L OW T
AFLUTTER  AH - F L AH - T ER
AFMED  AE F - M EH D
AFONSO  AH - F AA N - S OW
AFOOT  AH - F UH T
AFORESAID  AH - F AO R - S EH D
AFORETHOUGHT  AH - F AO R - TH AA T
AFRAID  AH - F R EY D
AFRESH  AH - F R EH SH
AFRICA  AE - F R AH - K AH
AFRICA'S()  AE - F R IH - K AH Z
AFRICA()  AE - F R IH - K AH
AFRICA(3)  AE - F ER - K AH
AFRICAN  AE - F R AH - K AH N
AFRICAN()  AE - F R IH - K AH N
AFRICANIST  AE - F R IH - K AH - N IH S T
AFRICANIZE  AE - F R AH - K AH - N AY Z
AFRICANIZED  AE - F R AH - K AH - N AY Z D
AFRICANS  AE - F R AH - K AH N Z
AFRICANS()  AE - F R IH - K AH N Z
AFRIKAANS  AE - F R AH - K AA N Z
AFRIKANER  AE - F R AH - K AA - N ER
AFRIKANERDOM  AE - F R AH - K AA - N ER - D AH M
AFRIKANERS  AE - F R IH - K AA - N ER Z
AFRO  AE - F R OW
AFSANE  AA F - S AA - N EY
AFSANE'S  AA F - S AA - N EY Z
AFSHAR  AE F - SH ER
AFTER  AE F - T ER
AFTERALL  AE F - T ER - AA L
AFTERBURNER  AE F - T ER - B ER - N ER
AFTERBURNERS  AE F - T ER - B ER - N ER Z
AFTEREFFECT  AE F - T ER - AH - F EH K T
AFTEREFFECTS  AE F - T ER - AH - F EH K T S
AFTERIMAGE  AE F - T ER - IH - M IH JH
AFTERLIFE  AE F - T ER - L AY F
AFTERMARKET  AE F - T ER - M AA R - K IH T
AFTERMATH  AE F - T ER - M AE TH
AFTERNOON  AE F - T ER - N UW N
AFTERNOON'S  AE F - T ER - N UW N Z
AFTERNOONS  AE F - T ER - N UW N Z
AFTERSHOCK  AE F - T ER - SH AA K
AFTERSHOCKS  AE F - T ER - SH AA K S
AFTERTASTE  AE F - T ER - T EY S T
AFTERTAX  AE F - T ER - T AE K S
AFTERTHOUGHT  AE F - T ER - TH AA T
AFTERWARD  AE F - T ER - W ER D
AFTERWARDS  AE F - T ER - W ER D Z
AFULA  AH - F UW - L AH
AFULA'S  AH - F UW - L AH Z
AGA  AA - G AH
AGACHE  AE - G AE CH
AGAIN  AH - G EH N
AGAIN()  AH - G EY N
AGAINST  AH - G EH N S T
AGAMEMNON  AE - G AH - M EH M - N AA N
AGAN  EY - G AH N
AGANBEGYAN  AE - G AH N - B EH - G Y AH N
AGANS  AA - G AA N Z
AGAPE  AH - G EY P
AGAR  EY - G ER
AGARD  AE - G ER D
AGARWAL  AA - G AA R - W AA L
